Month,Day,Hour, Volume, Difference,Note
6,13,0,,,
6,13,1,,,
6,13,2,,,
6,13,3,,,
6,13,4,,,
6,13,5,,,
6,13,6,,,
6,13,7,,,
6,13,8,,,
6,13,9,,,
6,13,10,,,
6,13,11,,,
6,13,12,,,
6,13,13,,,
6,13,14,,,
6,13,15,,,
6,13,16,,,
6,13,17,,,
6,13,18,,,
6,13,19,,,
6,13,20,,,
6,13,21,,,
6,13,22,,,
6,13,23,,,
6,14,0,,,
6,14,1,,,
6,14,2,,,
6,14,3,,,
6,14,4,,,
6,14,5,,,
6,14,6,,,
6,14,7,,,
6,14,8,,,
6,14,9,,,
6,14,10,,,
6,14,11,,,
6,14,12,,,
6,14,13,,,
6,14,14,,,
6,14,15,,,
6,14,16,,,
6,14,17,,,
6,14,18,,,
6,14,19,,,
6,14,20,,,
6,14,21,,,
6,14,22,,,
6,14,23,,,
6,15,0,,,
6,15,1,,,
6,15,2,,,
6,15,3,,,
6,15,4,,,
6,15,5,,,
6,15,6,,,
6,15,7,,,
6,15,8,,,
6,15,9,,,
6,15,10,,,
6,15,11,,,
6,15,12,,,
6,15,13,,,
6,15,14,,,
6,15,15,,,
6,15,16,,,
6,15,17,,,
6,15,18,,,
6,15,19,,,
6,15,20,,,
6,15,21,,,
6,15,22,,,
6,15,23,,,
6,16,0,,,
6,16,1,,,
6,16,2,,,
6,16,3,,,
6,16,4,,,
6,16,5,,,
6,16,6,,,
6,16,7,,,
6,16,8,,,
6,16,9,,,
6,16,10,,,
6,16,11,,,
6,16,12,,,
6,16,13,,,
6,16,14,,,
6,16,15,,,
6,16,16,,,
6,16,17,,,
6,16,18,,,
6,16,19,,,
6,16,20,,,
6,16,21,,,
6,16,22,,,
6,16,23,,,
6,17,0,,,
6,17,1,,,
6,17,2,,,
6,17,3,,,
6,17,4,,,
6,17,5,,,
6,17,6,,,
6,17,7,,,
6,17,8,,,
6,17,9,,,
6,17,10,,,
6,17,11,,,
6,17,12,,,
6,17,13,,,
6,17,14,,,
6,17,15,,,
